[2020-02-13T02:00:14,226] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:18,282] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:22,338] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:26,394] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:30,459] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:34,520] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:38,580] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:42,654] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:46,730] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:50,798] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:54,867] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:58,928] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:02,993] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:07,056] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:11,119] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:15,197] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:19,254] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:23,325] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:27,389] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:31,452] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:35,523] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:39,581] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:43,645] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:47,704] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:51,766] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:55,832] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:01:59,896] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:03,965] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:08,036] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:12,098] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:16,166] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:20,225] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:24,287] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:28,349] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:32,418] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:36,472] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:40,534] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:44,596] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:48,657] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:52,715] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:02:56,786] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:00,854] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:04,916] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:08,999] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:13,052] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:17,108] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:21,161] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:25,216] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:29,305] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:33,363] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:37,418] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:41,481] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:45,535] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:49,591] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:53,658] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:03:57,729] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:01,786] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:05,847] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:09,914] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:13,971] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:18,032] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:22,090] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:26,159] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:30,245] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:34,310] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:38,372] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:04:42,428] <db-server> INFO  db     - DbServer stopped
